"COD_DIAGNOSTICO","DES_DIAGNOSTICO","DTA_DESACTIVO","COD_VERDIAG","DES_DIAGNOSTICO_LONGA","DIAG_PAI","DIAG_MODULOS"
"1462","NEOPLASIA MALIGNA DOS PILARES AMIGDALIANOS (ANTERIORES)(POSTERIORES)",,"ICD9","NEOPLASIA MALIGNA DOS PILARES AMIGDALIANOS (ANTERIORES)(POSTERIORES)","146",""
"1466","NEOPLASIA MALIGNA DA PAREDE LATERAL DA OROFARINGE",,"ICD9","NEOPLASIA MALIGNA DA PAREDE LATERAL DA OROFARINGE","146",""
"1468","NEOPLASIA MALIGNA DA OROFARINGE, LOCAL NCOP",,"ICD9","NEOPLASIA MALIGNA DA OROFARINGE, LOCAL NCOP","146",""
"1478","TUMOR MALIGNO DA NASOFARINGE NCOP",,"ICD9","TUMOR MALIGNO DA NASOFARINGE NCOP","147",""
"1489","TUMOR MALIGNO DA HIPOFARINGE SOE",,"ICD9","TUMOR MALIGNO DA HIPOFARINGE SOE","148",""
"1498","TUMOR MALIGNO DO LABIO BOCA E FARINGE NCOP, OUTRO",,"ICD9","TUMOR MALIGNO DO LABIO BOCA E FARINGE NCOP, OUTRO","149",""
"1458","TUMOR MALIGNO DA BOCA NCOP",,"ICD9","TUMOR MALIGNO DA BOCA NCOP","145",""
"1510","NEOPLASIA MALIGNA DO CARDIA",,"ICD9","NEOPLASIA MALIGNA DO CARDIA","151",""
"1512","NEOPLASIA MALIGNA DO ANTRO PILORICO",,"ICD9","NEOPLASIA MALIGNA DO ANTRO PILORICO","151",""
"1515","NEOPLASIA MALIGNA DA PEQUENA CURVATURA DO ESTOMAGO",,"ICD9","NEOPLASIA MALIGNA DA PEQUENA CURVATURA DO ESTOMAGO","151",""
"1518","NEOPLASIA MALIGNA DO ESTOMAGO, LOCALIZACAO NCOP",,"ICD9","NEOPLASIA MALIGNA DO ESTOMAGO, LOCALIZACAO NCOP","151",""
"1521","NEOPLASIA MALIGNA DO JEJUNO",,"ICD9","NEOPLASIA MALIGNA DO JEJUNO","152",""
"1532","NEOPLASIA MALIGNA DO COLON DESCENDENTE",,"ICD9","NEOPLASIA MALIGNA DO COLON DESCENDENTE","153",""
"1534","NEOPLASIA MALIGNA DO CEGO",,"ICD9","NEOPLASIA MALIGNA DO CEGO","153",""
"1536","NEOPLASIA MALIGNA DO COLON ASCENDENTE",,"ICD9","NEOPLASIA MALIGNA DO COLON ASCENDENTE","153",""
"1538","NEOPLASIA MALIGNA DO COLON, LOCALIZACAO NCOP",,"ICD9","NEOPLASIA MALIGNA DO COLON, LOCALIZACAO NCOP","153",""
"154","NEOPLASIA MALIGNA DO RECTO, JUNCAO RECTO-SIGMOIDEIA E ANUS",,"ICD9","NEOPLASIA MALIGNA DO RECTO, JUNCAO RECTO-SIGMOIDEIA E ANUS","14",""
"1541","NEOPLASIA MALIGNA DO RECTO",,"ICD9","NEOPLASIA MALIGNA DO RECTO","154",""
"1454","TUMOR MALIGNO DA UVULA",,"ICD9","TUMOR MALIGNO DA UVULA","145",""
"156","NEOPLASIA MALIGNA DA VESICULA BILIAR E VIAS BILIARES EXTRA-HEPATICAS",,"ICD9","NEOPLASIA MALIGNA DA VESICULA BILIAR E VIAS BILIARES EXTRA-HEPATICAS","14",""
"1571","NEOPLASIA MALIGNA DO CORPO DO PANCREAS",,"ICD9","NEOPLASIA MALIGNA DO CORPO DO PANCREAS","157",""
"1580","NEOPLASIA MALIGNA DO RETROPERITONEU",,"ICD9","NEOPLASIA MALIGNA DO RETROPERITONEU","158",""
"1599","TUMOR MALIGNO DO APARELHO DIGESTIVO OU PERITONEU LMD",,"ICD9","TUMOR MALIGNO DO APARELHO DIGESTIVO OU PERITONEU LMD","159",""
"1619","NEOPLASIA MALIGNA DA LARINGE, NAO ESPECIFICADA",,"ICD9","NEOPLASIA MALIGNA DA LARINGE, NAO ESPECIFICADA","161",""
"170","NEOPLASIA MALIGNA DOS OSSOS E CARTILAGENS ARTICULARES",,"ICD9","NEOPLASIA MALIGNA DOS OSSOS E CARTILAGENS ARTICULARES","14",""
"1550","NEOPLASIA MALIGNA PRIMARIA DO FIGADO",,"ICD9","NEOPLASIA MALIGNA PRIMARIA DO FIGADO","155",""
"36021","MIOPIA PROGRESSIVA ALTA (DEGENERATIVA)",,"ICD9","MIOPIA PROGRESSIVA ALTA (DEGENERATIVA)","3602",""
"36081","LUXACAO DO GLOBO OCULAR",,"ICD9","LUXACAO DO GLOBO OCULAR","3608",""
"36089","TRANSTORNO DO GLOBO OCULAR NCOP",,"ICD9","TRANSTORNO DO GLOBO OCULAR NCOP","3608",""
"3610","DESCOLAMENTO DA RETINA COM DEFEITO RETINIANO",,"ICD9","DESCOLAMENTO DA RETINA COM DEFEITO RETINIANO","361",""
"36100","DESCOLAMENTO DA RETINA COM DEFEITO RETINIANO SOE",,"ICD9","DESCOLAMENTO DA RETINA COM DEFEITO RETINIANO SOE","3610",""
"3588","TRANSTORNOS NEUROMUSCULARES NCOP",,"ICD9","TRANSTORNOS NEUROMUSCULARES NCOP","358",""
"3589","TRANSTORNOS NEUROMUSCULARES SOE",,"ICD9","TRANSTORNOS NEUROMUSCULARES SOE","358",""
"3599","MIOPATIA, SEM OUTRA ESPECIFICACAO",,"ICD9","MIOPATIA, SEM OUTRA ESPECIFICACAO","359",""
"3600","ENDOFTALMITE PURULENTA",,"ICD9","ENDOFTALMITE PURULENTA","360",""
"36001","ENDOFTALMITE AGUDA",,"ICD9","ENDOFTALMITE AGUDA","3600",""
"36019","ENDOFTALMITE NCOP",,"ICD9","ENDOFTALMITE NCOP","3601",""
"36042","CEGUEIRA HIPERTENSIVA",,"ICD9","CEGUEIRA HIPERTENSIVA","3604",""
"36050","CORPO ESTRANHO INTRA-OCULAR MAGNETICO RETIDO SOE",,"ICD9","CORPO ESTRANHO INTRA-OCULAR MAGNETICO RETIDO SOE","3605",""
"36210","RETINOPATIA NCOP",,"ICD9","RETINOPATIA NCOP","3621",""
"36103","DESCOLAMENTO PARCIAL DA RETINA RECENTE COM RUPTURA GIGANTE",,"ICD9","DESCOLAMENTO PARCIAL DA RETINA RECENTE COM RUPTURA GIGANTE","3610",""
"36106","DESCOLAMENTO ANTIGO DA RETINA PARCIAL",,"ICD9","DESCOLAMENTO ANTIGO DA RETINA PARCIAL","3610",""
"36131","BURACO REDONDO DA RETINA SEM DESCOLAMENTO",,"ICD9","BURACO REDONDO DA RETINA SEM DESCOLAMENTO","3613",""
"3618","DESCOLAMENTOS DE RETINA NCOP",,"ICD9","DESCOLAMENTOS DE RETINA NCOP","361",""
"36189","DESCOLAMENTO DA RETINA NCOP",,"ICD9","DESCOLAMENTO DA RETINA NCOP","3618",""
"36202","RETINOPATIA PROLIFERATIVA DIABETICA",,"ICD9","RETINOPATIA PROLIFERATIVA DIABETICA","3620",""
"36218","VASCULITE RETINIANA",,"ICD9","VASCULITE RETINIANA","3621",""
"3622","RETINOPATIAS PROLIFERATIVAS NCOP",,"ICD9","RETINOPATIAS PROLIFERATIVAS NCOP","362",""
"3623","OCLUSAO VASCULAR DA RETINA",,"ICD9","OCLUSAO VASCULAR DA RETINA","362",""
"36236","OCLUSAO DA VEIA RETINIANA (TRIBUTARIA)",,"ICD9","OCLUSAO DA VEIA RETINIANA (TRIBUTARIA)","3623",""
"36250","DEGENERACAO MACULAR (SENIL) DA RETINA,SOE",,"ICD9","DEGENERACAO MACULAR (SENIL) DA RETINA,SOE","3625",""
"36252","DEGENERACAO MACULAR SENIL EXSUDATIVA DA RETINA",,"ICD9","DEGENERACAO MACULAR SENIL EXSUDATIVA DA RETINA","3625",""
"36255","MACULOPATIA TOXICA DA RETINA",,"ICD9","MACULOPATIA TOXICA DA RETINA","3625",""
"36256","PREGUEAMENTO MACULAR DA RETINA",,"ICD9","PREGUEAMENTO MACULAR DA RETINA","3625",""
"5839","NEFRITE OU NEFROPATIA COM LESAO PATOLOGICA RENAL SOE",,"ICD9","NEFRITE OU NEFROPATIA COM LESAO PATOLOGICA RENAL SOE","583",""
"585","INSUFICIENCIA RENAL CRONICA",,"ICD9","INSUFICIENCIA RENAL CRONICA","58",""
"586","INSUFICIENCIA RENAL, NAO ESPECIFICADA",,"ICD9","INSUFICIENCIA RENAL, NAO ESPECIFICADA","58",""
"587","ESCLEROSE RENAL NAO ESPECIFICADA",,"ICD9","ESCLEROSE RENAL NAO ESPECIFICADA","58",""
"588","TRANSTORNOS RESULTANTES DE FUNCAO RENAL DEFICIENTE",,"ICD9","TRANSTORNOS RESULTANTES DE FUNCAO RENAL DEFICIENTE","58",""
"589","RIM PEQUENO DE CAUSA DESCONHECIDA",,"ICD9","RIM PEQUENO DE CAUSA DESCONHECIDA","58",""
"590","INFECCOES DO RIM",,"ICD9","INFECCOES DO RIM","58",""
"59001","PIELONEFRITE CRONICA COM LESAO DE NECROSE RENAL MEDULAR",,"ICD9","PIELONEFRITE CRONICA COM LESAO DE NECROSE RENAL MEDULAR","5900",""
"59080","PIELONEFRITE NAO ESPECIFICADA",,"ICD9","PIELONEFRITE NAO ESPECIFICADA","5908",""
"5909","INFECCAO DO RIM, NAO ESPECIFICADA",,"ICD9","INFECCAO DO RIM, NAO ESPECIFICADA","590",""
"591","HIDRONEFROSE",,"ICD9","HIDRONEFROSE","58",""
"592","CALCULOSE DO RIM E DO URETER",,"ICD9","CALCULOSE DO RIM E DO URETER","58",""
"5920","CALCULOSE DO RIM",,"ICD9","CALCULOSE DO RIM","592",""
"5933","CONSTRICAO OU DOBRA DO URETER",,"ICD9","CONSTRICAO OU DOBRA DO URETER","593",""
"5935","HIDRO-URETER",,"ICD9","HIDRO-URETER","593",""
"5939","TRANSTORNO NAO ESPECIFICADO DO RIM E/OU DO URETER",,"ICD9","TRANSTORNO NAO ESPECIFICADO DO RIM E/OU DO URETER","593",""
"5940","CALCULO EM DIVERTICULO DA BEXIGA URINARIA",,"ICD9","CALCULO EM DIVERTICULO DA BEXIGA URINARIA","594",""
"5952","CISTITE CRONICA NCOP",,"ICD9","CISTITE CRONICA NCOP","595",""
"5960","OBSTRUCAO DO COLO DA BEXIGA",,"ICD9","OBSTRUCAO DO COLO DA BEXIGA","596",""
"5962","FISTULA VESICAL NCOP",,"ICD9","FISTULA VESICAL NCOP","596",""
"5964","ATONIA DA BEXIGA",,"ICD9","ATONIA DA BEXIGA","596",""
"5981","ESTENOSE TRAUMATICA DA URETRA",,"ICD9","ESTENOSE TRAUMATICA DA URETRA","598",""
"5982","ESTENOSE POS-OPERATORIA DA URETRA",,"ICD9","ESTENOSE POS-OPERATORIA DA URETRA","598",""
"5988","CAUSAS DE ESTENOSE DA URETRA NCOP",,"ICD9","CAUSAS DE ESTENOSE DA URETRA NCOP","598",""
"5993","CARUNCULA URETRAL",,"ICD9","CARUNCULA URETRAL","599",""
"5995","PROLAPSO DE MUCOSA URETRAL",,"ICD9","PROLAPSO DE MUCOSA URETRAL","599",""
"5997","HEMATURIA",,"ICD9","HEMATURIA","599",""
"5999","AFECCAO NAO ESPECIFICADA DA URETRA E TRACTO URINARIO",,"ICD9","AFECCAO NAO ESPECIFICADA DA URETRA E TRACTO URINARIO","599",""
"6029","AFECCOES DA PROSTATA SOE",,"ICD9","AFECCOES DA PROSTATA SOE","602",""
"60490","ORQUITE E EPIDIDIMITE SOE",,"ICD9","ORQUITE E EPIDIDIMITE SOE","6049",""
"605","PREPUCIO REDUNDANTE E FIMOSE",,"ICD9","PREPUCIO REDUNDANTE E FIMOSE","58",""
"6060","AZOOSPERMIA",,"ICD9","AZOOSPERMIA","606",""
"6070","LEUCOPLASIA DO PENIS",,"ICD9","LEUCOPLASIA DO PENIS","607",""
"6078","DOENCAS DO PENIS NCOP",,"ICD9","DOENCAS DO PENIS NCOP","607",""
"60789","TRANTORNOS DO PENIS NCOP",,"ICD9","TRANTORNOS DO PENIS NCOP","6078",""
"6081","ESPERMATOCELE",,"ICD9","ESPERMATOCELE","608",""
"6082","TORCAO DO TESTICULO",,"ICD9","TORCAO DO TESTICULO","608",""
"6089","TRANSTORNO NAO ESPECIFICADO DOS ORGAOS GENITAIS MASCULINOS",,"ICD9","TRANSTORNO NAO ESPECIFICADO DOS ORGAOS GENITAIS MASCULINOS","608",""
"6119","DOENCA DA MAMA NAO ESPECIFICADA",,"ICD9","DOENCA DA MAMA NAO ESPECIFICADA","611",""
"6141","SALPINGITE E OOFORITE CRONICAS",,"ICD9","SALPINGITE E OOFORITE CRONICAS","614",""
"1707","TUMOR MALIGNO DOS OSSOS LONGOS DO MEMBRO INFERIOR",,"ICD9","TUMOR MALIGNO DOS OSSOS LONGOS DO MEMBRO INFERIOR","170",""
"1709","TUMOR MALIGNO DOS OSSOS OU CARTILAGENS ARTICULARES LNE",,"ICD9","TUMOR MALIGNO DOS OSSOS OU CARTILAGENS ARTICULARES LNE","170",""
"1710","NEOPLASIA MALIGNA TEC.CONJUNT. E PARTES MOLES CABECA, FACE, PESCOCO",,"ICD9","NEOPLASIA MALIGNA TEC.CONJUNT. E PARTES MOLES CABECA, FACE, PESCOCO","171",""
"1712","NEOPLASIA MALIGNA TEC.CONJUNT. E PARTES MOLES MEMBRO SUP. INCL. OMBRO",,"ICD9","NEOPLASIA MALIGNA TEC.CONJUNT. E PARTES MOLES MEMBRO SUP. INCL. OMBRO","171",""
