"COD_ACTO","DESIGNACAO","REQ_PROCESSO","COD_GRUPO","CONTAGEM","EST_GRUPO","CONT_TAXAS","CONT_FACT","DTA_DESACTIVO","COD_VERDIAG","DESIGNACAO_LONGA"
"044","LISE DE ADESOES E DESCOMPRESSAO DE NERVOS CRANEANOS E PERIFERIC.","",,1,,1,1,,"ICD9","LISE DE ADESOES E DESCOMPRESSAO DE NERVOS CRANEANOS E PERIFERIC."
"0441","DESCOMPRESSAO DE RAIZ DE NERVO TRIGEMIO","",,1,,1,1,,"ICD9","DESCOMPRESSAO DE RAIZ DE NERVO TRIGEMIO"
"0442","DESCOMPRESSOES DE NERVO CRANIANO NCOP","",,1,,1,1,,"ICD9","DESCOMPRESSOES DE NERVO CRANIANO NCOP"
"0443","LIBERTACAO DO TUNEL CARPICO","",,1,,1,1,,"ICD9","LIBERTACAO DO TUNEL CARPICO"
"0449","DESCOMPRESSOES DE NERVO OU GANGLIO OU SECCAO DE ADERENCIAS NCOP","",,1,,1,1,,"ICD9","DESCOMPRESSOES DE NERVO OU GANGLIO OU SECCAO DE ADERENCIAS NCOP"
"046","TRANSPOSICAO DE NERVOS CRANEANOS OU PERIFERICOS","",,1,,1,1,,"ICD9","TRANSPOSICAO DE NERVOS CRANEANOS OU PERIFERICOS"
"0479","NEUROPLASTIA NCOP","",,1,,1,1,,"ICD9","NEUROPLASTIA NCOP"
"0499","OPERACOES EM NERVOS CRANIANOS OU PERIFERICOS NCOP","",,1,,1,1,,"ICD9","OPERACOES EM NERVOS CRANIANOS OU PERIFERICOS NCOP"
"0522","SIMPATICECTOMIA CERVICAL","",,1,,1,1,,"ICD9","SIMPATICECTOMIA CERVICAL"
"0589","OPERACOES NOS NERVOS NCOP","",,1,,1,1,,"ICD9","OPERACOES NOS NERVOS NCOP"
"059","INTERVENCOES NO SISTEMA NERVOSO NCOP","",,1,,1,1,,"ICD9","INTERVENCOES NO SISTEMA NERVOSO NCOP"
"062","LOBECTOMIA UNILATERAL DA TIROIDE","",,1,,1,1,,"ICD9","LOBECTOMIA UNILATERAL DA TIROIDE"
"0639","TIROIDECTOMIA PARCIAL NCOP","",,1,,1,1,,"ICD9","TIROIDECTOMIA PARCIAL NCOP"
"064","TIROIDECTOMIA TOTAL","",,1,,1,1,,"ICD9","TIROIDECTOMIA TOTAL"
"0650","TIROIDECTOMIA SUBESTERNAL NCOP","",,1,,1,1,,"ICD9","TIROIDECTOMIA SUBESTERNAL NCOP"
"067","EXCISAO DE CANAL OU QUISTO TIREOGLOSSO","",,1,,1,1,,"ICD9","EXCISAO DE CANAL OU QUISTO TIREOGLOSSO"
"0681","PARATIROIDECTOMIA COMPLETA","",,1,,1,1,,"ICD9","PARATIROIDECTOMIA COMPLETA"
"0721","EXCISAO DE LESAO DE GLANDULA SUPRA-RENAL","",,1,,1,1,,"ICD9","EXCISAO DE LESAO DE GLANDULA SUPRA-RENAL"
"0722","ADRENALECTOMIA UNILATERAL","",,1,,1,1,,"ICD9","ADRENALECTOMIA UNILATERAL"
"0762","EXCISAO PARCIAL DA HIPOFISE POR VIA TRANSESFENOIDAL","",,1,,1,1,,"ICD9","EXCISAO PARCIAL DA HIPOFISE POR VIA TRANSESFENOIDAL"
"0763","EXCISAO PARCIAL DA HIPOFISE POR VIA NAO ESPECIFICADA","",,1,,1,1,,"ICD9","EXCISAO PARCIAL DA HIPOFISE POR VIA NAO ESPECIFICADA"
"0765","EXCISAO TOTAL DA HIPOFISE POR VIA TRANSESFENOIDAL","",,1,,1,1,,"ICD9","EXCISAO TOTAL DA HIPOFISE POR VIA TRANSESFENOIDAL"
"0772","INCISAO DA HIPOFISE","",,1,,1,1,,"ICD9","INCISAO DA HIPOFISE"
"0809","INCISAO DA PALPEBRA NCOP","",,1,,1,1,,"ICD9","INCISAO DA PALPEBRA NCOP"
"0811","BIOPSIA DA PALPEBRA","",,1,,1,1,,"ICD9","BIOPSIA DA PALPEBRA"
"082","EXCISAO OU DESTRUICAO DE LESAO OU TECIDO DA PALPEBRA","",,1,,1,1,,"ICD9","EXCISAO OU DESTRUICAO DE LESAO OU TECIDO DA PALPEBRA"
"0820","REMOCAO DE LESAO DA PALPEBRA NAO ESPECIFICADA DE OUTRA FORMA","",,1,,1,1,,"ICD9","REMOCAO DE LESAO DA PALPEBRA NAO ESPECIFICADA DE OUTRA FORMA"
"0821","EXCISAO DE CHALAZIO","",,1,,1,1,,"ICD9","EXCISAO DE CHALAZIO"
"0822","EXCISAO DE OUTRA LESAO MENOR DA PALPEBRA","",,1,,1,1,,"ICD9","EXCISAO DE OUTRA LESAO MENOR DA PALPEBRA"
"0824","EXCISAO DE LESAO MAIOR DA PALPEBRA ESPESSAMENTO TOTAL","",,1,,1,1,,"ICD9","EXCISAO DE LESAO MAIOR DA PALPEBRA ESPESSAMENTO TOTAL"
"0831","REPARACAO DE BLEFAROPTOSE POR TECNICA DO MUSCULO FRONTAL (SUTURA","",,1,,1,1,,"ICD9","REPARACAO DE BLEFAROPTOSE POR TECNICA DO MUSCULO FRONTAL (SUTURA"
"0833","REPARACAO DE BLEFAROPTOSE POR RESSECCAO OU AVANCO DE MUSCULO ELE","",,1,,1,1,,"ICD9","REPARACAO DE BLEFAROPTOSE POR RESSECCAO OU AVANCO DE MUSCULO ELE"
"0835","REPARACAO DE BLEFAROPTOSE POR TECNICA TARSAL","",,1,,1,1,,"ICD9","REPARACAO DE BLEFAROPTOSE POR TECNICA TARSAL"
"0838","CORRECCAO DE RETRACCAO DA PALPEBRA","",,1,,1,1,,"ICD9","CORRECCAO DE RETRACCAO DA PALPEBRA"
"0842","REPARACAO DE ENTROPIO OU ECTROPIO POR TECNICA DE SUTURA","",,1,,1,1,,"ICD9","REPARACAO DE ENTROPIO OU ECTROPIO POR TECNICA DE SUTURA"
"0849","REPARACOES DE ENTROPIO OU ECTROPIO NCOP","",,1,,1,1,,"ICD9","REPARACOES DE ENTROPIO OU ECTROPIO NCOP"
"0852","BLEFARORRAFIA","",,1,,1,1,,"ICD9","BLEFARORRAFIA"
"0870","RECONSTRUCAO DE PALPEBRA NAO CLASSIFICAVEL NOUTRO LOCAL","",,1,,1,1,,"ICD9","RECONSTRUCAO DE PALPEBRA NAO CLASSIFICAVEL NOUTRO LOCAL"
"0872","RECONSTRUCAO DE PALPEBRA POR ESPESAMENTO PARCIAL NCOP","",,1,,1,1,,"ICD9","RECONSTRUCAO DE PALPEBRA POR ESPESAMENTO PARCIAL NCOP"
"0889","REPARACOES DA PALPEBRA NCOP","",,1,,1,1,,"ICD9","REPARACOES DA PALPEBRA NCOP"
"0899","OPERACOES NAS PALPEBRAS NCOP","",,1,,1,1,,"ICD9","OPERACOES NAS PALPEBRAS NCOP"
"0911","BIOPSIA DA GLANDULA LACRIMAL","",,1,,1,1,,"ICD9","BIOPSIA DA GLANDULA LACRIMAL"
"0941","EXPLORACAO DO PONTO LACRIMAL","",,1,,1,1,,"ICD9","EXPLORACAO DO PONTO LACRIMAL"
"0949","MANIPULACAO DE CANAL LACRIMAL NCOP","",,1,,1,1,,"ICD9","MANIPULACAO DE CANAL LACRIMAL NCOP"
"0951","INCISAO DE PONTO LACRIMAL","",,1,,1,1,,"ICD9","INCISAO DE PONTO LACRIMAL"
"096","EXCISAO DE SACO OU CANAL LACRIMAL","",,1,,1,1,,"ICD9","EXCISAO DE SACO OU CANAL LACRIMAL"
"0971","CORRECCAO DE PONTO LACRIMAL EVERTIDO","",,1,,1,1,,"ICD9","CORRECCAO DE PONTO LACRIMAL EVERTIDO"
"0981","DACRIOCISTORRINOSTOMIA","",,1,,1,1,,"ICD9","DACRIOCISTORRINOSTOMIA"
"0991","OBLITERACAO DE PONTO LACRIMAL","",,1,,1,1,,"ICD9","OBLITERACAO DE PONTO LACRIMAL"
"1031","EXCISAO DE LESAO OU TECIDO DA CONJUNTIVA","",,1,,1,1,,"ICD9","EXCISAO DE LESAO OU TECIDO DA CONJUNTIVA"
"1043","RECONSTRUCOES DE FUNDO DE SACO CONJUNTIVAL NCOP","",,1,,1,1,,"ICD9","RECONSTRUCOES DE FUNDO DE SACO CONJUNTIVAL NCOP"
"106","REPARACAO DE LACERACAO DE CONJUNTIVA","",,1,,1,1,,"ICD9","REPARACAO DE LACERACAO DE CONJUNTIVA"
"1091","INJECCAO SUBCONJUNTIVAL","",,1,,1,1,,"ICD9","INJECCAO SUBCONJUNTIVAL"
"1099","OPERACOES NA CONJUNTIVA NCOP","",,1,,1,1,,"ICD9","OPERACOES NA CONJUNTIVA NCOP"
"1129","ACTOS DE DIAGNOSTICO NA CORNEA NCOP","",,1,,1,1,,"ICD9","ACTOS DE DIAGNOSTICO NA CORNEA NCOP"
"1131","TRANSPOSICAO DE PTERIGIO","",,1,,1,1,,"ICD9","TRANSPOSICAO DE PTERIGIO"
"1139","EXCISAO NCOP DE PTERIGIO","",,1,,1,1,,"ICD9","EXCISAO NCOP DE PTERIGIO"
"1141","EXTRACCAO MECANICA DE EPITELIO DA CORNEA POR QUIMIOCAUTERIZACAO","",,1,,1,1,,"ICD9","EXTRACCAO MECANICA DE EPITELIO DA CORNEA POR QUIMIOCAUTERIZACAO"
"1159","REPARACOES DA CORNEA NCOP","",,1,,1,1,,"ICD9","REPARACOES DA CORNEA NCOP"
"1164","QUERATOPLASTIA PENETRANTE NCOP","",,1,,1,1,,"ICD9","QUERATOPLASTIA PENETRANTE NCOP"
"1171","QUERATOMELEUSIS","",,1,,1,1,,"ICD9","QUERATOMELEUSIS"
"1172","QUERATOFAQUIA","",,1,,1,1,,"ICD9","QUERATOFAQUIA"
"1174","TERMOQUERATOPLASTIA","",,1,,1,1,,"ICD9","TERMOQUERATOPLASTIA"
"1199","OPERACOES NA CORNEA NCOP","",,1,,1,1,,"ICD9","OPERACOES NA CORNEA NCOP"
"1239","IRIDOPLASTIAS NCOP","",,1,,1,1,,"ICD9","IRIDOPLASTIAS NCOP"
